都道府県,区分,人口,面積
北海道,総人口,5381733,83424.31
,外国人,21676,83424.31
青森県,総人口,1308265,9645.59
,外国人,3447,9645.59
岩手県,総人口,1279594,15275.01
,外国人,5017,15275.01
宮城県,総人口,2333899,7282.22
,外国人,13989,7282.22
秋田県,総人口,1023119,11637.54
,外国人,2914,11637.54
山形県,総人口,1123891,9323.15
,外国人,5503,9323.15
福島県,総人口,1914039,13783.74
,外国人,8725,13783.74
茨城県,総人口,2916976,6097.06
,外国人,41310,6097.06
栃木県,総人口,1974255,6408.09
,外国人,26494,6408.09
群馬県,総人口,1973115,6362.28
,外国人,37126,6362.28
埼玉県,総人口,7266534,3797.75
,外国人,105203,3797.75
千葉県,総人口,6222666,5157.65
,外国人,90178,5157.65
東京都,総人口,13515271,2190.93
,外国人,378564,2190.93
神奈川県,総人口,9126214,2415.83
,外国人,144500,2415.83
新潟県,総人口,2304264,12584.1
,外国人,11567,12584.1
富山県,総人口,1066328,4247.61
,外国人,10768,4247.61
石川県,総人口,1154008,4186.09
,外国人,9308,4186.09
福井県,総人口,786740,4190.49
,外国人,9448,4190.49
山梨県,総人口,834930,4465.27
,外国人,11115,4465.27
長野県,総人口,2098804,13561.56
,外国人,26640,13561.56
岐阜県,総人口,2031903,10621.29
,外国人,35382,10621.29
静岡県,総人口,3700305,7777.42
,外国人,59596,7777.42
愛知県,総人口,7483128,5172.48
,外国人,166150,5172.48
三重県,総人口,1815865,5774.4
,外国人,31333,5774.4
滋賀県,総人口,1412916,4017.38
,外国人,19886,4017.38
京都府,総人口,2610353,4612.19
,外国人,43949,4612.19
大阪府,総人口,8839469,1905.14
,外国人,150890,1905.14
兵庫県,総人口,5534800,8400.96
,外国人,77518,8400.96
奈良県,総人口,1364316,3690.94
,外国人,8726,3690.94
和歌山県,総人口,963579,4724.69
,外国人,4667,4724.69
鳥取県,総人口,573441,3507.05
,外国人,3384,3507.05
島根県,総人口,694352,6708.24
,外国人,5371,6708.24
岡山県,総人口,1921525,7114.5
,外国人,17309,7114.5
広島県,総人口,2843990,8479.45
,外国人,34854,8479.45
山口県,総人口,1404729,6112.3
,外国人,11512,6112.3
徳島県,総人口,755733,4146.65
,外国人,3871,4146.65
香川県,総人口,976263,1876.72
,外国人,6928,1876.72
愛媛県,総人口,1385262,5676.11
,外国人,8096,5676.11
高知県,総人口,728276,7103.93
,外国人,3236,7103.93
福岡県,総人口,5101556,4986.4
,外国人,47097,4986.4
佐賀県,総人口,832832,2440.68
,外国人,3878,2440.68
長崎県,総人口,1377187,4132.09
,外国人,7669,4132.09
熊本県,総人口,1786170,7409.35
,外国人,8358,7409.35
大分県,総人口,1166338,6340.71
,外国人,8656,6340.71
宮崎県,総人口,1104069,7735.31
,外国人,3693,7735.31
鹿児島県,総人口,1648177,9186.94
,外国人,5847,9186.94
沖縄県,総人口,1433566,2281.12
,外国人,11020,2281.12
