Continent,Variable,Mean,SD,Min,Max,Obs
Africa,Population,24.560947185185185,35.90062113716035,0.098347,206.139589,54
Africa,Area,54.443511111111114,59.21810613474172,0.046,238.174,54
Africa,GDP_per_capita,0.25140724960596295,0.31334566188438795,0.005770006862,1.72739382,54
Africa,PPP_per_capita,0.5667087351519231,0.6015193341965882,0.0733141734,2.7788137920000002,52
Africa,HDI_2018,0.5532641509433962,0.10889923905635751,0.377,0.801,53
Africa,Polity_Score,2.4791666666666665,5.0020828994863065,-9,10,48
Africa,FH_Total,41.574074074074076,25.129552513004356,2,92,54
America,Population,28.736227111111113,66.28460983071932,0.053199,334.308644,36
America,Area,108.16078333333333,245.8517367324781,0.026,915.802,36
America,GDP_per_capita,1.2526519375797223,1.2701654288318542,0.07453592747,6.444591065,36
America,PPP_per_capita,1.8100292041057144,1.2600623405407116,0.1765875076,6.178996813,35
America,HDI_2018,0.7424722222222222,0.09094974628445288,0.466,0.922,36
America,Polity_Score,6.925925925925926,3.5940755302829848,-5,10,27
America,FH_Total,71.91666666666667,22.42750224931116,14,98,36
Asia,Population,107.30016061904762,301.72686527067077,0.437479,1447.470092,42
Asia,Area,70.19834047619048,155.92487157823726,0.03,938.9291,42
Asia,GDP_per_capita,1.3167524748616666,1.7058453094792208,0.04906797222,6.368026204,42
Asia,PPP_per_capita,2.2728133185634145,2.4066761996982318,0.139610508,9.525176819,41
Asia,HDI_2018,0.7228536585365853,0.12010715236313152,0.463,0.935,41
Asia,Polity_Score,0.34210526315789475,7.4843126597317005,-10,10,38
Asia,FH_Total,38.92857142857143,25.154539770787686,0,96,42
Europe,Population,17.11275326,29.056742536769306,8.01e-4,145.934462,50
Europe,Area,46.461898,230.347176215785,0,1637.687,50
Europe,GDP_per_capita,3.557526588930612,3.8646336140558373,0.2963695998,18.317720809999997,49
Europe,PPP_per_capita,3.7782592862326085,2.1276378520847405,0.8428738686999999,11.34230596,46
Europe,HDI_2018,0.8611304347826086,0.06306913620804543,0.711,0.954,46
Europe,Polity_Score,7.926829268292683,4.233144480775721,-7,10,41
Europe,FH_Total,79.42857142857143,22.701872169492983,10,100,49
Oceania,Population,10.046533250000001,10.813851192845757,0.896445,25.499884,4
Oceania,Area,210.43125,372.29122052623893,1.827,768.23,4
Oceania,GDP_per_capita,2.65775849195,2.6006797616446042,0.2790828548,5.461517354000001,4
Oceania,PPP_per_capita,2.757265102275,2.198371884827131,0.41711176809999995,5.000127059,4
Oceania,HDI_2018,0.7815,0.18631603974609018,0.543,0.938,4
Oceania,Polity_Score,7.25,3.2015621187164243,4,10,4
Oceania,FH_Total,79,20.800641015763592,60,97,4
