Country,Continent,PPP_per_capita
Afghanistan,Asia,2125.36284
Albania,Europe,13780.63845
Algeria,Africa,11324.07247
Angola,Africa,6649.167268
Antigua and Barbuda,America,21267.24464
Argentina,America,22938.45283
Armenia,Europe,12974.28527
Australia,Oceania,50001.27059
Austria,Europe,55823.7755
Azerbaijan,Europe,14257.21733
Bahamas,America,35662.13343
Bahrain,Asia,43624.13646
Bangladesh,Asia,4457.528874
Barbados,America,16065.90692
Belarus,Europe,19415.23747
Belgium,Europe,51548.97187
Belize,America,7090.572093
Benin,Africa,3067.339481
Bhutan,Asia,11362.54419
Bolivia,America,8623.406914
Bosnia and Herzegovina,Europe,15158.63874
Botswana,Africa,17310.57689
Brazil,America,14734.44157
Brunei,Asia,60655.6429
Bulgaria,Europe,22550.80957
Burkina Faso,Africa,1799.981754
Burma,Asia,4931.584935
Burundi,Africa,733.141734
Cabo Verde,Africa,6912.751557
Cambodia,Asia,4142.203779
Cameroon,Africa,3506.438649
Canada,America,49087.53115
Central African Republic,Africa,923.5041773
Chad,Africa,1525.486878
Chile,America,24261.6318
China,Asia,15176.56759
Colombia,America,14474.62763
Comoros,Africa,3006.873267
Congo (Brazzaville),Africa,3191.049724
Congo (Kinshasa),Africa,1043.4956
Costa Rica,America,19395.15339
Cote d'Ivoire,Africa,3641.957772
Croatia,Europe,27996.13277
Cyprus,Europe,28723.8924
Czechia,Europe,40130.23088
Denmark,Europe,56753.79747
Djibouti,Africa,5071.194332
Dominica,America,11755.06348
Dominican Republic,America,17774.0173
Ecuador,America,11478.29168
Egypt,Africa,11198.25782
El Salvador,America,8727.662786
Equatorial Guinea,Africa,19458.29784
Eritrea,Africa,1860.306489
Estonia,Europe,36233.10354
Eswatini,Africa,8633.555256
Ethiopia,Africa,2046.81364
Fiji,Oceania,13939.90708
Finland,Europe,49324.08062
France,Europe,45649.60462
Gabon,Africa,14380.16403
Gambia,Africa,2072.336788
Georgia,Europe,13633.86642
Germany,Europe,53886.15291
Ghana,Africa,5097.360597
Greece,Europe,31256.64033
Grenada,America,33836.18108
Guatemala,America,8332.809208
Guinea,America,2416.077461
Guinea-Bissau,Africa,1901.604725
Guyana,America,9447.44912
Haiti,America,1765.875076
Honduras,America,5624.411953
Hungary,Europe,31955.3803
Iceland,Europe,60011.04785
India,Asia,6564.248482
Indonesia,Asia,11396.94735
Iran,Asia,13961.4755
Iraq,Asia,10434.20233
Ireland,Europe,83254.27833
Israel,Asia,41318.46385
Italy,Europe,42769.73788
Jamaica,America,9886.558239
Japan,Asia,41490.57302
Jordan,Asia,9849.485462
Kazakhstan,Asia,25469.45372
Kenya,Africa,4104.973218
South Korea,Asia,39921.95975
Kosovo,Europe,11077.90659
Kuwait,Asia,50094.73206
Kyrgyzstan,Asia,5083.211032
Laos,Asia,7548.948809
Latvia,Europe,31412.68308
Lebanon,Asia,16473.36694
Lesotho,Africa,3019.308213
Liberia,Africa,1461.096499
Libya,Africa,14018.79879
Lithuania,Europe,36875.03421
Luxembourg,Europe,113423.0596
Madagascar,Africa,1567.147513
Malawi,Africa,1016.083051
Malaysia,Asia,27477.87887
Maldives,Asia,18087.83374
Mali,Africa,2208.487918
Malta,Europe,47787.12379
Mauritania,Africa,3601.39606
Mauritius,Africa,22636.55793
Mexico,America,19962.71343
Moldova,Europe,8428.738687
Mongolia,Asia,11801.13413
Montenegro,Europe,21103.45091
Morocco,Africa,7553.997013
Mozambique,Africa,1246.594712
Namibia,Africa,10314.33682
Nepal,Asia,3210.717523
Netherlands,Europe,57277.74405
New Zealand,Oceania,42178.30874
Nicaragua,America,5693.548577
Niger,Africa,824.0225287
Nigeria,Africa,5018.410753
North Macedonia,Europe,16621.53795
Norway,Europe,66276.146
Oman,Asia,27700.11158
Pakistan,Asia,4664.227243
Panama,America,30816.64201
Papua New Guinea,Oceania,4171.117681
Paraguay,America,12877.61944
Peru,America,12703.54042
Philippines,Asia,8098.786088
Poland,Europe,31863.2889
Portugal,Europe,34564.83067
Qatar,Asia,93465.64954
Romania,Europe,29406.37678
Russia,Europe,28731.64167
Rwanda,Africa,2007.945666
Saint Kitts and Nevis,America,26152.93521
Saint Lucia,America,13828.24966
Saint Vincent and the Grenadines,America,12686.04651
San Marino,Europe,62554.00666
Sao Tome and Principe,Africa,3890.919378
Saudi Arabia,Asia,47196.13139
Senegal,Africa,3247.926248
Serbia,Europe,14078.86079
Seychelles,Africa,27788.13792
Sierra Leone,Africa,1634.001226
Singapore,Asia,95251.76819
Slovakia,Europe,32539.75627
Slovenia,Europe,38655.23647
South Africa,Africa,12604.85403
South Sudan,Africa,1410.158817
Spain,Europe,40519.79971
Sri Lanka,Asia,13413.58334
Sudan,Africa,4062.91828
Suriname,America,15858.20412
Sweden,Europe,54212.51547
Switzerland,Europe,68233.16258
Taiwan,Asia,46145.20648
Tajikistan,Asia,3161.764775
Tanzania,Africa,2428.000146
Thailand,Asia,18383.52642
Timor-Leste,Asia,3034.142494
Togo,Africa,1515.517367
Trinidad and Tobago,America,26727.71042
Tunisia,Africa,10773.44231
Turkey,Europe,27465.40402
Uganda,Africa,1716.012505
Ukraine,Europe,12207.23637
United Arab Emirates,Asia,65777.67719
United Kingdom,Europe,45596.20992
United States,America,61789.96813
Uruguay,America,21961.22612
Uzbekistan,Asia,6792.994742
Venezuela,America,17806.31764
Vietnam,Asia,7627.624603
West Bank and Gaza,Asia,1396.10508
Yemen,Asia,3083.95732
Zambia,Africa,3396.936622
Zimbabwe,Africa,3264.832007
