ID,Date,Week,Confirmed_Japan,Confirmed_Korea
1,2020/1/16,木,1人,
2,2020/1/17,金,0人,
3,2020/1/18,土,0人,
4,2020/1/19,日,0人,
5,2020/1/20,月,0人,1人
6,2020/1/21,火,0人,0人
7,2020/1/22,水,0人,0人
8,2020/1/23,木,0人,0人
9,2020/1/24,金,2人,1人
10,2020/1/25,土,0人,0人
11,2020/1/26,日,1人,1人
12,2020/1/27,月,2人,1人
13,2020/1/28,火,1人,0人
14,2020/1/29,水,4人,0人
15,2020/1/30,木,3人,2人
16,2020/1/31,金,3人,5人
17,2020/2/1,土,3人,1人
18,2020/2/2,日,0人,3人
19,2020/2/3,月,0人,0人
20,2020/2/4,火,3人,1人
21,2020/2/5,水,2人,3人
22,2020/2/6,木,0人,4人
23,2020/2/7,金,0人,1人
24,2020/2/8,土,1人,0人
25,2020/2/9,日,0人,3人
26,2020/2/10,月,0人,1人
27,2020/2/11,火,0人,0人
28,2020/2/12,水,2人,0人
29,2020/2/13,木,1人,0人
30,2020/2/14,金,4人,0人
31,2020/2/15,土,8人,0人
32,2020/2/16,日,12人,1人
33,2020/2/17,月,6人,1人
34,2020/2/18,火,7人,1人
35,2020/2/19,水,7人,20人
36,2020/2/20,木,11人,53人
37,2020/2/21,金,9人,100人
38,2020/2/22,土,12人,229人
39,2020/2/23,日,27人,169人
40,2020/2/24,月,12人,231人
41,2020/2/25,火,12人,144人
42,2020/2/26,水,8人,284人
43,2020/2/27,木,22人,505人
44,2020/2/28,金,24人,571人
45,2020/2/29,土,20人,813人
46,2020/3/1,日,9人,1062人
47,2020/3/2,月,15人,600人
48,2020/3/3,火,14人,516人
49,2020/3/4,水,16人,438人
50,2020/3/5,木,34人,518人
51,2020/3/6,金,31人,483人
52,2020/3/7,土,59人,367人
53,2020/3/8,日,47人,248人
54,2020/3/9,月,33人,131人
55,2020/3/10,火,26人,242人
56,2020/3/11,水,54人,114人
57,2020/3/12,木,52人,110人
58,2020/3/13,金,55人,107人
59,2020/3/14,土,41人,76人
60,2020/3/15,日,64人,74人
61,2020/3/16,月,34人,84人
62,2020/3/17,火,15人,93人
63,2020/3/18,水,44人,152人
64,2020/3/19,木,41人,87人
65,2020/3/20,金,36人,147人
66,2020/3/21,土,46人,98人
67,2020/3/22,日,50人,64人
68,2020/3/23,月,43人,76人
69,2020/3/24,火,39人,100人
70,2020/3/25,水,65人,104人
71,2020/3/26,木,99人,91人
72,2020/3/27,金,95人,146人
73,2020/3/28,土,112人,105人
74,2020/3/29,日,194人,78人
75,2020/3/30,月,173人,125人
76,2020/3/31,火,87人,101人
77,2020/4/1,水,225人,89人
78,2020/4/2,木,203人,86人
79,2020/4/3,金,236人,94人
80,2020/4/4,土,318人,81人
81,2020/4/5,日,336人,47人
82,2020/4/6,月,383人,47人
83,2020/4/7,火,252人,53人
84,2020/4/8,水,351人,39人
85,2020/4/9,木,511人,27人
86,2020/4/10,金,579人,30人
87,2020/4/11,土,658人,32人
88,2020/4/12,日,743人,25人
89,2020/4/13,月,507人,27人
90,2020/4/14,火,390人,27人
91,2020/4/15,水,455人,22人
92,2020/4/16,木,482人,22人
93,2020/4/17,金,585人,18人
94,2020/4/18,土,628人,8人
95,2020/4/19,日,424人,13人
96,2020/4/20,月,532人,9人
97,2020/4/21,火,368人,11人
98,2020/4/22,水,377人,8人
99,2020/4/23,木,423人,6人
100,2020/4/24,金,469人,10人
101,2020/4/25,土,441人,10人
102,2020/4/26,日,353人,10人
103,2020/4/27,月,203人,14人
104,2020/4/28,火,191人,9人
105,2020/4/29,水,276人,4人
106,2020/4/30,木,236人,9人
107,2020/5/1,金,193人,6人
108,2020/5/2,土,264人,13人
109,2020/5/3,日,294人,8人
110,2020/5/4,月,218人,3人
111,2020/5/5,火,174人,2人
112,2020/5/6,水,123人,4人
113,2020/5/7,木,109人,12人
114,2020/5/8,金,84人,18人
115,2020/5/9,土,102人,34人
116,2020/5/10,日,98人,35人
117,2020/5/11,月,51人,27人
118,2020/5/12,火,76人,26人
119,2020/5/13,水,150人,29人
120,2020/5/14,木,55人,27人
121,2020/5/15,金,114人,19人
122,2020/5/16,土,44人,13人
123,2020/5/17,日,48人,15人
124,2020/5/18,月,20人,13人
125,2020/5/19,火,60人,32人
126,2020/5/20,水,20人,12人
127,2020/5/21,木,39人,20人
128,2020/5/22,金,89人,23人
129,2020/5/23,土,23人,25人
130,2020/5/24,日,14人,16人
131,2020/5/25,月,31人,19人
132,2020/5/26,火,42人,40人
133,2020/5/27,水,28人,79人
134,2020/5/28,木,32人,58人
135,2020/5/29,金,36人,39人
136,2020/5/30,土,85人,27人
137,2020/5/31,日,47人,35人
138,2020/6/1,月,33人,38人
139,2020/6/2,火,46人,49人
140,2020/6/3,水,56人,39人
141,2020/6/4,木,32人,39人
142,2020/6/5,金,46人,51人
143,2020/6/6,土,39人,57人
144,2020/6/7,日,38人,38人
145,2020/6/8,月,33人,38人
146,2020/6/9,火,36人,50人
147,2020/6/10,水,41人,45人
148,2020/6/11,木,41人,56人
149,2020/6/12,金,40人,49人
150,2020/6/13,土,50人,34人
151,2020/6/14,日,47人,36人
152,2020/6/15,月,73人,34人
153,2020/6/16,火,85人,43人
154,2020/6/17,水,41人,59人
155,2020/6/18,木,40人,49人
156,2020/6/19,金,72人,67人
157,2020/6/20,土,59人,48人
158,2020/6/21,日,65人,17人
159,2020/6/22,月,52人,46人
160,2020/6/23,火,52人,51人
161,2020/6/24,水,56人,28人
162,2020/6/25,木,86人,39人
163,2020/6/26,金,87人,51人
164,2020/6/27,土,100人,62人
165,2020/6/28,日,93人,42人
166,2020/6/29,月,86人,43人
167,2020/6/30,火,117人,50人
168,2020/7/1,水,130人,54人
169,2020/7/2,木,151人,63人
170,2020/7/3,金,194人,63人
171,2020/7/4,土,214人,61人
172,2020/7/5,日,240人,48人
