Country,Month,Rank,New_Cases_per_million
Canada,4,2,24637.915472444947
Canada,5,2,62787.089470304214
Canada,6,3,79922.12103209583
Canada,7,3,28516.761390990032
France,4,5,54618.90117450935
France,5,4,81421.0565109242
France,6,4,85834.80840165222
France,7,4,30116.926485447613
Germany,4,3,47060.62887325115
Germany,5,3,64783.47605081651
Germany,6,2,67683.16057508967
Germany,7,2,23598.82995240305
Italy,4,7,81514.64032859345
Italy,5,6,114367.41920430918
Italy,6,5,117681.39453810078
Italy,7,5,39973.337887611924
Japan,4,1,2257.495171374221
Japan,5,1,4100.019844799421
Japan,6,1,4324.670343203231
Japan,7,1,1622.0567714967926
United Kingdom,4,4,48576.46765056247
United Kingdom,5,5,102407.37926379552
United Kingdom,6,6,119872.18587171903
United Kingdom,7,6,41919.15828484471
United States,4,6,58486.86939725076
United States,5,7,135824.1607417127
United States,6,7,194232.17486413545
United States,7,7,87484.56411435177
