"Country","Date","NewPat"
"日本","2020/06/27",100
"日本","2020/06/28",93
"日本","2020/06/29",86
"日本","2020/06/30",117
"日本","2020/07/01",130
"韓国","2020/06/27",62
"韓国","2020/06/28",42
"韓国","2020/06/29",43
"韓国","2020/06/30",50
"韓国","2020/07/01",54
"中国 (本土)","2020/06/27",17
"中国 (本土)","2020/06/28",12
"中国 (本土)","2020/06/29",19
"中国 (本土)","2020/06/30",3
"中国 (本土)","2020/07/01",5
"台湾","2020/06/27",0
"台湾","2020/06/28",0
"台湾","2020/06/29",0
"台湾","2020/06/30",0
"台湾","2020/07/01",0
"香港","2020/06/27",1
"香港","2020/06/28",2
"香港","2020/06/29",4
"香港","2020/06/30",2
"香港","2020/07/01",28
